list_id,ad_id,tieu_de,hang_xe,loai_xe,dung_tich,nam_san_xuat,tinh_trang,gia_vnd,gia_trieu,khu_vuc,quan_huyen,nguoi_ban,so_da_ban,km_da_di,ngay_dang,co_video,url
130916100,174358567,Honda Tay Ga Nhập khẩu,Honda,Tay ga,,2008,Đã sử dụng,3900000,3.9,TP Hồ Chí Minh,Huyện Củ Chi,Vuvan kha,425,56000,32 giây trước,True,https://xe.chotot.com/mua-ban-xe-may/130916100
125098470,167639302,Honda Rebel300 Abs FI xe độ full đậm chất Mỹ chât,Honda,Xe côn tay,175-300cc,2021,Đã sử dụng,80000000,80.0,TP Hà Nội,Quận Cầu Giấy,Tong motor xe may,1,9001,57 giây trước,True,https://xe.chotot.com/mua-ban-xe-may/125098470
131290924,174795528,Honda Future 2025 Trắng 700km,Honda,Xe số,,2025,Đã sử dụng,37000000,37.0,TP Hồ Chí Minh,Thành phố Thuận An,CẦM ĐỒ PHÚ THÀNH VIETSING,0,700,58 giây trước,False,https://xe.chotot.com/mua-ban-xe-may/131290924
131237935,174733394,Honda Air Blade 125cc 2023 Đen bóng,Honda,Tay ga,,2023,Đã sử dụng,49000000,49.0,TP Hồ Chí Minh,Quận Gò Vấp,CHXM 86 chuyên bán xe trả góp,457,13682,1 phút trước,False,https://xe.chotot.com/mua-ban-xe-may/131237935
131064242,174530716,janus limited khoá smartkey,Yamaha,Tay ga,100-175cc,2020,Đã sử dụng,21000000,21.0,TP Hà Nội,Quận Hoàng Mai,Trường Giang Phạm,20,16000,2 phút trước,True,https://xe.chotot.com/mua-ban-xe-may/131064242
131290891,174795488,dream thái 1996 ngay chủ bstp,Honda,Xe số,100-175cc,1996,Đã sử dụng,19600000,19.6,TP Hồ Chí Minh,Thành phố Thủ Đức,tèo,35,393939,2 phút trước,False,https://xe.chotot.com/mua-ban-xe-may/131290891
98146943,135893062,"Wave A110, 2021, chính chủ, còn bảo hành",Honda,Xe số,100-175cc,2021,Đã sử dụng,7800000,7.8,TP Hà Nội,Quận Nam Từ Liêm,Em Dung,0,1200,2 phút trước,False,https://xe.chotot.com/mua-ban-xe-may/98146943
123140675,165366090,bán xe taurus nguyên bản,Yamaha,Xe số,100-175cc,2016,Đã sử dụng,3500000,3.5,TP Hà Nội,Quận Nam Từ Liêm,nguyen thu huyen,30,6868,2 phút trước,False,https://xe.chotot.com/mua-ban-xe-may/123140675
131044542,174507501,HONDA WINNER 150cc . Đăng ký 2018  -HỖ TRỢ GÓP/6,Honda,Xe côn tay,100-175cc,2018,Đã sử dụng,18300000,18.3,TP Hồ Chí Minh,Quận Gò Vấp,CẦM ĐỒ NĂM LINH,854,12345,2 phút trước,False,https://xe.chotot.com/mua-ban-xe-may/131044542
131178273,174663924,CBR150,Honda,Xe côn tay,100-175cc,2021,Đã sử dụng,47000000,47.0,Vĩnh Long,Huyện Trà Cú,Sang,0,8250,3 phút trước,False,https://xe.chotot.com/mua-ban-xe-may/131178273
131290877,174795427,Yamaha Cuxi Đen,Yamaha,Tay ga,,2016,Đã sử dụng,4700000,4.7,Đồng Nai,Huyện Thống Nhất,Đoàn Lê Minh,40,25000,3 phút trước,False,https://xe.chotot.com/mua-ban-xe-may/131290877
131134961,174613016,Yamaha Exciter 135 2014 Xanh trắng,Yamaha,Xe côn tay,,2014,Đã sử dụng,17000000,17.0,TP Hồ Chí Minh,Quận Tân Phú,Tuanduy,10803,10,3 phút trước,False,https://xe.chotot.com/mua-ban-xe-may/131134961
131290869,174795473,Kymco Candy 50 cc 2022 Xám,Brand_21,Tay ga,,2022,Đã sử dụng,5300000,5.3,TP Hồ Chí Minh,Thành phố Thủ Đức,Hùngg Vũ,0,31000,3 phút trước,False,https://xe.chotot.com/mua-ban-xe-may/131290869
