list_id,ad_id,tieu_de,hang_xe,loai_xe,dung_tich,nam_san_xuat,tinh_trang,gia_vnd,gia_trieu,khu_vuc,quan_huyen,nguoi_ban,so_da_ban,dang_lon,km_da_di,ngay_dang,co_video,url
131061275,174527108,XE ĐIỆN GẤP GỌN BẠN UỐNG TÔI LÁY,Brand_34,Xe phân khối lớn,,2025,Đã sử dụng,12000000,12.0,TP Hồ Chí Minh,Quận Gò Vấp,LÊ HOÀNG CHƯƠNG,0,2,10000,1 phút trước,False,https://xe.chotot.com/mua-ban-xe-may/131061275
131023091,174483364,Honda Lead 2009 Đỏ Đã sử dụng,Honda,Tay ga,100 - 175cc,2009,Đã sử dụng,9000000,9.0,TP Hồ Chí Minh,Quận Tân Phú,Quan Vo,1,1,11000,18 phút trước,False,https://xe.chotot.com/mua-ban-xe-may/131023091
130049239,173360735,Honda Vario 125cc 2021 Đen,Honda,Tay ga,100 - 175cc,2021,Đã sử dụng,32500000,32.5,Đồng Nai,Huyện Trảng Bom,u kiều,137,53,20000,2 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130049239
130981117,174434419,Honda Vision 2015,Honda,Tay ga,100 - 175cc,2017,Đã sử dụng,18300000,18.3,Đồng Nai,Huyện Trảng Bom,u kiều,137,53,25000,2 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130981117
130301619,173650908,Honda Wave S 110cc 2011 Đỏ,Honda,Xe số,100 - 175cc,2011,Đã sử dụng,9200000,9.2,Đồng Nai,Huyện Trảng Bom,u kiều,137,53,38000,2 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130301619
130462816,173835473,Yamaha Exciter 135cc Đỏ,Yamaha,Xe côn tay,100 - 175cc,2015,Đã sử dụng,15000000,15.0,Đồng Nai,Huyện Trảng Bom,u kiều,137,53,35000,2 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130462816
131074823,174542794,Yamaha Exciter 150cc 2019 Xanh,Yamaha,Xe số,100 - 175cc,2019,Đã sử dụng,21900000,21.9,Đồng Nai,Huyện Trảng Bom,u kiều,137,53,25000,2 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131074823
130077856,173393595,HONDA WS 100,Honda,Xe số,100 - 175cc,2007,Đã sử dụng,11800000,11.8,Vĩnh Long,Huyện Trà Ôn,Cửa hàng xe Phương Linh,331,16,23000,2 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130077856
130923921,174367712,Honda Wave 2021 màu Xanh,Honda,Xe số,100 - 175cc,2021,Đã sử dụng,14300000,14.3,Đồng Nai,Huyện Trảng Bom,u kiều,137,53,25000,2 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130923921
130077903,173393659,HONDA WS110,Honda,Xe số,100 - 175cc,2015,Đã sử dụng,10500000,10.5,Vĩnh Long,Huyện Trà Ôn,Cửa hàng xe Phương Linh,331,16,23000,2 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130077903
